file_path,sha256_checksum,file_size_bytes,file_size_mb,source_priority,priority_score,dedup_decision,dedup_rationale,file_type
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/international-relations/International_relations/metadata.json,dbb6d454259dbd7a8e38b8c0f571e2c3c1901809ecd1556b8945390bbed50899,862,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/Payment_and_settlement_systems_in_India/metadata.json (similarity: 1.00, lower priority)",json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/international-relations/List_of_specialized_agencies_of_the_United_Nations/List_of_specialized_agencies_of_the_United_Nations.html,32a6bbe282bc9cc363b20856251b2c092e123d231299f0400f567ba53deefa7a,5093,0.0,Official RRB,100,keep,Unique file - no duplicates found,text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/international-relations/List_of_specialized_agencies_of_the_United_Nations/index.html,457d1969709469f44e6b118137e1872693d94534b461079b2ab0b869ef44093c,201722,0.19,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/geography/Himalayas/index.html (similarity: 1.00, lower priority)",text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/international-relations/List_of_specialized_agencies_of_the_United_Nations/metadata.json,75c3b96678e7cfa0648695fd3f1655bc098519b7237449cc18fe5033eb53a625,923,0.0,Official RRB,100,keep,Unique file,json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/international-relations/United_Nations/United_Nations.html,95d0f293414753b7d42fad7b8fc1a33c5b8a2cfb69409580567f3c52541f829c,4805,0.0,Official RRB,100,keep,Unique file - no duplicates found,text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/international-relations/United_Nations/index.html,99e7817a77a5893c41a4c6f8c825e78c4a889e7e7e9212d54275a6b8130aa596,8799,0.01,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/culture/Culture_of_India/index.html (similarity: 1.00, lower priority)",text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/international-relations/United_Nations/metadata.json,98e07b551e3ca5d913bcf895c948ec58699a692823eacc34ee598aec1d041a52,835,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/culture/Culture_of_India/metadata.json (similarity: 1.00, lower priority)",json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/logs/collection.log,9a5277c8f328c5e2ccd3c4153eba0f671d667db868aebf6ea13cba5f1eefa551,15204,0.01,Official RRB,100,keep,Unique file - no duplicates found,other
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/logs/comprehensive_collection.log,bd591b641940920adb3813fefd8a405bb548193bc798d4bf1cb1a0023a91260a,4229,0.0,Official RRB,100,keep,Unique file - no duplicates found,other
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/logs/dumps_collection.log,4c2951267999eb271f15f1381f9e6ac77b413b6d41db97ebd0bb8b8b94bb9537,274,0.0,Official RRB,100,keep,Unique file - no duplicates found,other
